,Price,TV_name,diagonal,hdmi_n,usb_n,Ultra_HD,Full_HD,3D_Tv,volume,pixels,energy_cons,weight
351,799990.0,Panasonic VIERA TX-55FZ950E,139.0,4.0,2.0,1.0,0.0,0.0,80.0,8294400.0,165.0,29.0
352,299900.0,LG 55UH850V,139.0,3.0,3.0,1.0,0.0,1.0,20.0,8294400.0,124.0,21.2
353,129900.0,Sharp AQUOS LC-49CUF8372ES,123.0,3.0,3.0,1.0,0.0,0.0,20.0,8294400.0,130.0,11.7
354,77770.0,TELEFUNKEN T43FX280DLBPOSWX-T2,109.0,,1.0,0.0,1.0,,16.0,2073600.0,,
355,169900.0,TCL U55C7006,139.0,,,1.0,0.0,,,8294400.0,,18.0
356,120881.0,Hitachi 49HL15W64,125.0,3.0,2.0,1.0,0.0,0.0,20.0,8217600.0,100.0,
357,38900.0,Sharp LC-24CHE4000E,61.0,2.0,1.0,0.0,0.0,0.0,6.0,1049088.0,37.0,4.6
358,1096990.0,Samsung QE65Q9FAM,165.0,4.0,3.0,1.0,0.0,0.0,60.0,8294400.0,,30.0
359,269990.0,Samsung UE55NU7502,139.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,,20.7
360,204990.0,Philips 49PUS7503,123.0,4.0,2.0,1.0,0.0,0.0,25.0,8294400.0,,14.2
361,439990.0,LG 65SJ810V,164.0,4.0,3.0,1.0,0.0,0.0,20.0,8294400.0,141.0,25.5
362,46890.0,JVC LT24VH43J,61.0,2.0,1.0,0.0,0.0,0.0,5.0,1049088.0,,3.4
363,119990.0,Philips 49PFS5301,123.0,2.0,2.0,0.0,1.0,0.0,16.0,2073600.0,54.0,13.7
364,89990.0,Sony Bravia KDL-32WE615,80.0,2.0,2.0,0.0,0.0,,10.0,1049088.0,,6.2
365,379990.0,Sony Bravia KD-65XD7505,165.0,4.0,3.0,1.0,0.0,0.0,20.0,8294400.0,173.0,22.7
366,169888.0,Samsung UE55M6372,138.0,3.0,2.0,0.0,1.0,0.0,20.0,2073600.0,,17.1
367,1479900.0,Samsung UE78KS9500,197.0,4.0,3.0,1.0,0.0,0.0,20.0,8294400.0,,51.1
368,117983.0,LG 49LH570V,124.0,2.0,1.0,0.0,1.0,0.0,10.0,2073600.0,53.0,15.0
369,399999.0,Sony Bravia KD-55XE8577,138.0,4.0,1.0,1.0,0.0,0.0,20.0,8294400.0,139.0,19.5
370,69999.0,GABA GLV-4200,108.0,2.0,2.0,0.0,1.0,,20.0,2073600.0,,
371,127900.0,LG 43UK6200PLA,108.0,1.0,2.0,1.0,0.0,,20.0,8294400.0,,8.4
372,150890.0,Hitachi 55HK6500,140.0,3.0,1.0,1.0,0.0,,20.0,8294400.0,,
373,99790.0,Philips 43PFS5503,109.0,2.0,1.0,0.0,1.0,0.0,16.0,2073600.0,69.0,7.2
374,50990.0,Philips 24PFS4032,60.0,2.0,1.0,0.0,1.0,0.0,6.0,2073600.0,28.0,3.2
